,YearStart,LocationAbbr,Adult Binge Prev,Adult Checkup,Adult Depression,Adult Obesity,Adult Smoking,Adults No Ins,Below Poverty Line,HS Completion 18-24,Low Fruit Intake Adults,Low Veg Intake Adults,No Adult Leisure Activity,No Broadband,Per Capita Alcohol,Unemployment Rate
77,2021,ND,20.8,72.2,19.5,35.2,15.0,7.7,16.9,91.5,44.0,22.7,25.5,11.3,3.3,2.4
78,2021,NE,19.5,73.4,17.5,35.9,13.4,10.3,17.9,89.1,42.7,20.8,24.2,9.9,2.13,2.8
79,2021,NH,14.6,75.2,23.4,30.6,12.3,6.4,12.0,92.0,35.7,15.3,20.0,7.4,4.43,3.8
80,2021,NJ,14.6,76.6,17.5,28.2,10.7,10.9,16.0,90.6,35.1,21.3,24.1,8.0,2.63,8.0
81,2021,NM,13.2,63.0,19.8,34.6,13.3,10.0,29.8,80.8,41.2,22.3,23.0,15.7,2.33,7.8
82,2021,NV,12.7,71.4,17.0,31.3,15.5,13.9,23.1,86.4,41.9,24.0,24.2,9.4,3.51,9.6
83,2021,NY,14.9,78.9,17.0,29.1,12.0,7.4,21.4,90.3,35.7,20.7,25.8,9.6,2.26,8.8
84,2021,OH,16.8,77.0,22.0,37.7,18.0,8.1,21.2,88.5,43.0,19.6,25.9,11.1,2.13,5.4
85,2021,OK,11.9,73.6,24.4,39.4,16.9,14.3,25.3,84.8,48.7,20.7,28.3,12.2,1.87,6.0
86,2021,OR,15.8,67.4,24.6,30.4,12.4,8.0,20.3,87.6,37.7,16.4,19.9,8.4,2.82,6.4
87,2021,PA,15.3,77.1,19.1,33.3,14.4,6.6,19.1,88.3,39.3,19.4,24.3,11.2,2.45,6.3
88,2021,RI,17.3,81.0,23.3,30.1,12.4,6.6,18.5,89.2,34.9,19.4,24.2,9.0,2.87,7.7
89,2021,SC,15.0,78.2,19.7,36.1,15.5,13.7,23.6,87.4,42.0,20.3,25.0,12.1,2.14,5.5
90,2021,SD,19.6,75.8,16.5,38.4,15.3,8.8,19.3,85.1,43.4,19.2,23.2,11.9,2.33,2.7
91,2021,TN,14.2,78.4,25.2,35.0,19.7,11.5,23.0,89.4,46.1,19.7,28.7,12.0,2.42,5.2
92,2021,TX,16.4,69.5,18.6,36.1,13.1,23.9,23.3,86.1,40.6,24.1,25.1,9.8,2.47,6.1
93,2021,UT,11.7,69.5,24.5,30.9,7.2,10.4,15.1,89.4,37.7,20.0,17.3,6.7,1.3,3.5
94,2021,VA,15.4,76.6,19.6,34.2,12.4,7.0,16.6,91.5,39.6,18.1,20.9,9.3,2.26,4.6
95,2021,VT,17.0,71.7,25.4,29.0,14.8,5.9,16.5,91.2,34.0,13.8,17.8,10.8,3.13,4.0
96,2021,WA,15.2,66.7,23.4,28.8,10.7,8.0,16.5,87.5,36.1,19.0,17.8,6.6,2.27,5.9
97,2021,WI,21.9,73.6,20.4,33.9,13.3,5.7,17.8,89.8,38.8,20.1,20.3,10.5,3.15,3.4
98,2021,WV,11.6,79.1,27.5,40.6,22.0,8.3,27.6,89.7,46.0,18.9,30.5,15.3,1.82,6.1
99,2021,WY,15.9,68.2,21.0,32.0,16.4,16.7,19.2,89.6,43.3,19.2,22.9,9.2,3.0,3.6
